名称,链接
新闻,http://news.baidu.com
hao123,https://www.hao123.com?src=from_pc
地图,http://map.baidu.com
贴吧,http://tieba.baidu.com/
视频,https://haokan.baidu.com/?sfrom=baidu-top
图片,http://image.baidu.com/
网盘,https://pan.baidu.com?from=1026962h
文库,https://wenku.baidu.com/?fr=bdpcindex
文心,https://chat.baidu.com/search?isShowHello=1&pd=csaitab&setype=csaitab&extParamsJson=%7B%22enter_type%22%3A%22home_tab%22%7D
搭子DuMate,https://cloud.baidu.com/product/dumate.html?track=bdsy
更多,http://www.baidu.com/more/
翻译,http://fanyi.baidu.com/
学术,http://xueshu.baidu.com/
百科,https://baike.baidu.com
知道,https://zhidao.baidu.com
健康,https://jiankang.baidu.com/widescreen/home
营销推广,http://e.baidu.com/ebaidu/home?refer=887
直播,https://live.baidu.com/
音乐,http://music.taihe.com
橙篇,https://cp.baidu.com/?sa=bdindex
查看全部百度产品 >,http://www.baidu.com/more/
登录,https://passport.baidu.com/v2/?login&tpl=mn&u=http%3A%2F%2Fwww.baidu.com%2F&sms=5
关闭热搜,https://www.baidu.comjavascript:;
开启热搜,https://www.baidu.comjavascript:;
