分类名称,链接,层级
冰洗,https://search.jd.com/Search?keyword=冰箱%2F洗衣机&enc=utf-8&wq=冰洗&pvid=86906b9466d84cb99b938ce3d1f98eb1,一级
电脑,https://search.jd.com/Search?keyword=电脑整机&enc=utf-8&pvid=e2444eaf9a9b4e33b9bf031c43e39940,一级
手机,https://search.jd.com/Search?keyword=手机&enc=utf-8&pvid=25db2d08e2d04e1b91d79c9a65766521,一级
生活电器,https://list.jd.com/list.html?cat=737%2C738&pvid=2f4bddc5bb364eff8f104ed59ffd6dc2,一级
食品,https://search.jd.com/Search?keyword=%E9%A3%9F%E5%93%81&enc=utf-8&wq=%E9%A3%9F%E5%93%81&pvid=b22bb1ad1cb045aa989753d21f73c228,一级
美妆,https://search.jd.com/Search?keyword=%E7%BE%8E%E5%A6%86&enc=utf-8&wq=%E7%BE%8E%E5%A6%86&pvid=c8ee6f8f98ba4aeabf534a34348c0d87,一级
元器件,https://ic.jd.com,一级
家装,https://search.jd.com/Search?keyword=%E5%AE%B6%E8%A3%85&enc=utf-8&wq=%E5%AE%B6%E8%A3%85jianc&pvid=ab225ed5a88c44e391dc224e03e1950c,一级
家居日用,https://list.jd.com/list.html?cat=1620,一级
男鞋,https://search.jd.com/Search?keyword=男鞋&enc=utf-8&pvid=66d6dae0cc0f4f7faf6ae3c48f71ca83,一级
男装,"https://list.jd.com/list.html?cat=1315,1342",一级
京东买药,https://search.jd.com/Search?keyword=%E4%BA%AC%E4%B8%9C%E4%B9%B0%E8%8D%AF&enc=utf-8&wq=%E4%BA%AC%E4%B8%9C%E4%B9%B0%E8%8D%AF&pvid=d605a440ef96406f9dedbe3e8ddc9dbd,一级
房产,https://search.jd.com/Search?keyword=房产&enc=utf-8&wq=房产&pvid=ebe58fbf611c414395103b9d55334cb8,一级
图书,https://search.jd.com/Search?keyword=图书&enc=utf-8&wq=图书&pvid=ef13c075c94e415a9c1a468f6716ed0e,一级
女鞋,https://search.jd.com/Search?keyword=女鞋&enc=utf-8&pvid=a0ad3cfe0a7743e281ca4d7469d3e91a,一级
母婴,https://search.jd.com/Search?keyword=%E6%AF%8D%E5%A9%B4&enc=utf-8&wq=%E6%AF%8D%E5%A9%B4&pvid=3e86f063795740d594b1bb1187e02063,一级
机票,https://jipiao.jd.com/,一级
艺术,https://search.jd.com/Search?keyword=艺术品&enc=utf-8&wq=艺术品&pvid=5928d0db63e24f479330f2922ea1b0d7,一级
安装,https://search.jd.com/Search?keyword=安装&enc=utf-8&wq=安装&pvid=97bb21465c894defaccfc1f197896150,一级
支付,https://www.jdpay.com/home/,一级
